IdRecorrido;Camion;IdPedido
134531;134531;1042098254
134510;134510;1042097836
134510;134510;1042097838
134528;134528;1042098252
134569;134569;1042098698
134511;134511;1042097844
134548;134548;1042098242
134532;134532;1042098253
134539;134539;1042099738
134510;134510;1042097845
134514;134514;1042097850
134510;134510;1042097847
134515;134515;1042098251
134515;134515;1042097858
134517;134517;1042097856
134517;134517;1042097851
134518;134518;1042097854
134520;134520;1042097859
134528;134528;1042097861
134516;134516;1042097261
134517;134517;1042098246
134517;134517;1042098244
134517;134517;1042098245
134517;134517;1042098247
134511;134511;1042098249
134518;134518;1042097842
134518;134518;1042098250
134548;134548;1042098239
134510;134510;1042097840
134510;134510;1042097841
134519;134519;1042098256
134534;134534;1042098257
134533;134533;1042098258
134528;134528;1042097835
134548;134548;1042098241
134569;134569;1042103969
134592;134592;1042103968
134703;134703;1042104458
134655;134655;1042103971
134662;134662;1042104455
134584;134584;1042104447
134576;134576;1042104446
134593;134593;1042103975
134509;134509;1042104449
134607;134607;1042104456
135049;135049;1042104333
134602;134602;1042104445
134592;134592;1042104444
134582;134582;1042104442
134595;134595;1042104437
134600;134600;1042104435
134587;134587;1042104436
134601;134601;1042104439
134579;134579;1042104434
134579;134579;1042104443
134609;134609;1042104523
134666;134666;1042104441
134695;134695;1042104335
134509;134509;1042104450
134842;134842;1042104337
134509;134509;1042104451
135049;135049;1042104336
134703;134703;1042104448
134569;134569;1042103972
134569;134569;1042103973
134606;134606;1042103970
134610;134610;1042104459
134575;134575;1042104453
134575;134575;1042104452
134593;134593;1042103977
135049;135049;1042104321
134509;134509;1042104460
134689;134689;1042109724
134665;134665;1042109731
134680;134680;1042109732
134649;134649;1042109723
134703;134703;1042109955
134664;134664;1042109959
134656;134656;1042109726
134658;134658;1042109730
134652;134652;1042109729
134652;134652;1042109727
134657;134657;1042109725
134653;134653;1042109957
134654;134654;1042109958
134648;134648;1042109956
134652;134652;1042109728
134723;134723;1042116077
134723;134723;1042116564
134707;134707;1042116076
134722;134722;1042116567
134704;134704;1042116571
134704;134704;1042116572
134706;134706;1042116570
134943;134943;1042116558
134721;134721;1042116565
134744;134744;1042117339
134705;134705;1042116560
134720;134720;1042116569
134775;134775;1042118375
134809;134809;1042123937
134773;134773;1042123932
134775;134775;1042123927
134777;134777;1042123926
134775;134775;1042123935
134773;134773;1042123929
134776;134776;1042123928
134775;134775;1042123931
134774;134774;1042124001
134771;134771;1042123542
134771;134771;1042124057
134770;134770;1042123541
134777;134777;1042123544
134770;134770;1042123540
134793;134793;1042124303
134771;134771;1042123933
134775;134775;1042120857
134771;134771;1042123938
134770;134770;1042123934
134776;134776;1042123925
134776;134776;1042120856
134771;134771;1042123936
134771;134771;1042120858
134770;134770;1042123543
134835;134835;1042130410
134835;134835;1042130187
134874;134874;1042130177
134857;134857;1042130183
134845;134845;1042130189
134856;134856;1042130188
134843;134843;1042126644
134843;134843;1042126646
134843;134843;1042126645
134811;134811;1042126652
134811;134811;1042126650
134841;134841;1042126649
134841;134841;1042126647
134844;134844;1042126648
134849;134849;1042130405
134800;134800;1042126651
134855;134855;1042130182
134835;134835;1042129665
134835;134835;1042129667
134835;134835;1042129668
134811;134811;1042129669
134835;134835;1042130180
134835;134835;1042130181
134843;134843;1042129666
134835;134835;1042130184
134927;134927;1042130408
134927;134927;1042130406
134927;134927;1042130407
134927;134927;1042130409
134850;134850;1042130186
134874;134874;1042130174
134846;134846;1042130178
134843;134843;1042130185
134881;134881;1042130517
134811;134811;1042130179
134874;134874;1042130175
134999;134999;1042135608
134944;134944;1042136265
134908;134908;1042132857
134943;134943;1042136075
134943;134943;1042136078
134943;134943;1042132858
134934;134934;1042132859
135000;135000;1042135605
134926;134926;1042136080
134954;134954;1042135601
134954;134954;1042136070
134999;134999;1042135598
134999;134999;1042135600
134943;134943;1042135599
134950;134950;1042136076
134928;134928;1042136068
134929;134929;1042136069
134929;134929;1042136066
134929;134929;1042136067
134880;134880;1042132865
134876;134876;1042132863
134878;134878;1042132861
134875;134875;1042132862
134877;134877;1042132864
134879;134879;1042132860
134951;134951;1042136065
134951;134951;1042136072
135015;135015;1042136071
134999;134999;1042136252
134943;134943;1042136255
134943;134943;1042136073
134931;134931;1042135604
134932;134932;1042135603
135005;135005;1042137611
134999;134999;1042135606
134944;134944;1042135607
134943;134943;1042135602
135000;135000;1042141514
134990;134990;1042141305
134990;134990;1042141307
134990;134990;1042141309
135003;135003;1042141301
135019;135019;1042141092
135001;135001;1042141602
135082;135082;1042141300
135003;135003;1042141303
135016;135016;1042141515
135004;135004;1042141512
135003;135003;1042141513
135003;135003;1042141302
135014;135014;1042141601
135014;135014;1042141600
135083;135083;1042147545
135063;135063;1042147541
135063;135063;1042147543
135084;135084;1042147556
135084;135084;1042147557
135059;135059;1042144846
135081;135081;1042147544
